trip_id,headway_secs
14483587-MAR19-RAIL-Weekday-01,600
14483674-MAR19-RAIL-Weekday-01,600
14483688-MAR19-RAIL-Weekday-01,600
050-CT-490.0N-0626-20181117-Weekday-06,1200
339-CT-491.1N-1122-20181117-Weekday-06,21600
016-CT-491.0S-0700-20181117-Weekday-06,3600
059-CT-493.0N-0630-20181117-Weekday-06,2700
031-CT-470.1N-0746-20181117-Weekday-06,1350
121-RL-484.0N-0632-20181117-Weekday-06,1800
085-CN-477.0N-0639-20181117-Weekday-06,720
049-RL-476.0N-0616-20181117-Weekday-06,1542
054-RL-464.2N-0632-20181117-Weekday-06,1080
011-CN-460.0N-0652-20181117-Weekday-06,360
036-RD-460.0N-0921-20181117-Weekday-06,21600
324-CT-460.0S-1451-20181117-Weekday-06,7200
048-RD-489.1S-0639-20181117-Weekday-06,3600
077-RL-479.0N-0651-20181117-Weekday-06,5400
080-RL-478.0N-0654-20181117-Weekday-06,1800
318-RD-477.1S-1359-20181117-Weekday-06,21600
304-CT-475.3S-1205-20181117-Weekday-06,7200
313-RT-475.3N-1248-20181117-Weekday-06,4320
058-RD-475.0N-0631-20181117-Weekday-06,2700
306-RL-465.2S-1307-20181117-Weekday-06,1963
051-RD-465.5S-0717-20181117-Weekday-06,2700
032-CN-465.0N-0715-20181117-Weekday-06,981
301-RL-465.2N-1306-20181117-Weekday-06,1800
309-RL-444.1N-1231-20181117-Weekday-06,1800
316-S1-421.0E-1333-20181117-Weekday-06,5400
305-MA-440.0S-1148-20181117-Weekday-06,5400
062-S1-426.0N-0659-20181117-Weekday-06,2160
005-S1-442.1W-0750-20181117-Weekday-06,3600
310-MA-445.0W-1259-20181117-Weekday-06,3600
012-MA-440.0S-0848-20181117-Weekday-06,5400
317-S1-420.0W-1325-20181117-Weekday-06,3085
007-RL-444.1N-0731-20181117-Weekday-06,1800
078-MA-445.0W-0657-20181117-Weekday-06,2160
317-S1-442.1W-1350-20181117-Weekday-06,3600
308-RL-444.2S-1306-20181117-Weekday-06,1800
