route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,agency_raw_name,trip_destination,trip_short_name,trip_route_name,pub_dir_id,rm_block_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,stop_distance,stop_is_skipped,arrival_h,arrival_m,departure_h,departure_m,tod,index,trip_num_for_shape,trip_num_total,num_pattern,trip_num_N_most,number_of_stops
721-95,AUG19-MVS-BUS-Weekday-01,15245188-AUG19-MVS-BUS-Weekday-01,Northbound 721C  LTD Stop / Brklyn Ctr / Henn Tech,0,2067,7210003,1.0,MT2019,,,,,,27540.0,27540.0,56803,1,0,0,1,,,7,39,7,39,pk,746,1,4,2,4,79
721-95,AUG19-MVS-BUS-Weekday-01,15245189-AUG19-MVS-BUS-Weekday-01,Southbound 721D Ltd Stop/Brklyn Ctr/Downtown,1,2067,7210004,1.0,MT2019,,,,,,23220.0,23220.0,9522,1,0,0,1,,,6,27,6,27,pk,744,2,5,2,5,75
721-95,AUG19-MVS-BUS-Weekday-01,15245194-AUG19-MVS-BUS-Weekday-01,Southbound 721A  Brklyn Ctr/Transit Ctr,1,2069,7210002,1.0,MT2019,,,,,,28680.0,28680.0,9522,1,0,0,1,,,7,58,7,58,pk,743,3,5,2,5,42
721-95,AUG19-MVS-BUS-Weekday-01,15245196-AUG19-MVS-BUS-Weekday-01,Southbound 721A  Brklyn Ctr/Transit Ctr,1,2069,7210002,1.0,MT2019,,,,,,35880.0,35880.0,9522,1,0,0,1,,,9,58,9,58,op,751,12,12,1,12,42
663-95,AUG19-MVS-BUS-Weekday-01,15245231-AUG19-MVS-BUS-Weekday-01,Eastbound 663  Express / Downtown,0,2034,6630002,1.0,MT2019,,,,,,24300.0,24300.0,40247,1,0,0,1,,,6,45,6,45,pk,884,6,6,1,6,35
663-95,AUG19-MVS-BUS-Weekday-01,15245238-AUG19-MVS-BUS-Weekday-01,Westbound 663  Express / Greenbrier,1,2023,6630001,1.0,MT2019,,,,,,53820.0,53820.0,56803,1,0,0,1,,,14,57,14,57,op,886,1,1,1,1,42
663-95,AUG19-MVS-BUS-Weekday-01,15245243-AUG19-MVS-BUS-Weekday-01,Eastbound 663  Express / Downtown,0,2008,6630002,1.0,MT2019,,,,,,33240.0,33240.0,40247,1,0,0,1,,,9,14,9,14,op,887,1,1,1,1,35
25-95,AUG19-MVS-BUS-Weekday-01,15245245-AUG19-MVS-BUS-Weekday-01,Northbound 25N  Stinson / Silver Lake / Northtown,0,1487,250004,1.0,MT2019,,,,,,34740.0,34740.0,19337,1,0,0,1,,,9,39,9,39,op,1302,6,6,1,6,129
25-95,AUG19-MVS-BUS-Weekday-01,15245252-AUG19-MVS-BUS-Weekday-01,Northbound 25A  Stinson/ Silver Lake/ Silver Lk Vlg,0,1488,250002,1.0,MT2019,,,,,,23880.0,23880.0,19337,1,0,0,1,,,6,38,6,38,pk,1296,1,7,2,4,53
25-95,AUG19-MVS-BUS-Weekday-01,15245259-AUG19-MVS-BUS-Weekday-01,Northbound 25N  Stinson / Silver Lake / Northtown,0,1493,250008,1.0,MT2019,,,,,,24300.0,24300.0,2974,1,0,0,1,,,6,45,6,45,pk,1295,3,7,2,4,167
