route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,agency_raw_name
921-95,0,A Line,A Line,,3,http://www.metrotransit.org/route/921,58595B,FFFFFF,MT2019
923-95,0,C Line,C Line,,3,http://www.metrotransit.org/route/923,58595B,FFFFFF,MT2019
411-58,3,ML,Mystic Lake Shuttle,Local Weekday-Saturday-Sunday,3,http://www.mysticlake.com/free-shuttle,800080,FFFFFF,MV2019
411-59,3,ML,Mystic Lake Shuttle,Local Weekday-Saturday-Sunday,3,http://www.mysticlake.com/free-shuttle,800080,FFFFFF,MV2019
420-58,1,420,Rosemount-Apple Valley Flex,Flex Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=420,5C5D5F,FFFFFF,MV2019
420-59,1,420,Rosemount-Apple Valley Flex,Flex Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=420,5C5D5F,FFFFFF,MV2019
421-58,1,421,Burnsville-Savage Flex,Flex Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=421,5C5D5F,FFFFFF,MV2019
421-59,1,421,Burnsville-Savage Flex,Flex Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=421,5C5D5F,FFFFFF,MV2019
426-58,1,426,Burnsville Shuttle,Local Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=426,008641,FFFFFF,MV2019
426-59,1,426,Burnsville Shuttle,Local Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=426,008641,FFFFFF,MV2019
436-58,1,436,Eagan Hwy 55 Rev Comm,Local Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=436,008641,FFFFFF,MV2019
436-59,1,436,Eagan Hwy 55 Rev Comm,Local Peak-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=436,008641,FFFFFF,MV2019
438-58,1,438,Cliff Lake Flex,Local Weekday-Only,3,http://www.mvta.com/bus_route_information_2.html?routeId=438,008641,FFFFFF,MV2019
